ticker,shortName,sector,industry,marketCap,trailingPE,trailingEps,currentPrice,regularMarketPrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,targetMeanPrice,numberOfAnalystOpinions,price,sector_median_pe,valuation_discount,analyst_upside,drawdown,position_in_range,momentum_score,valuation_discount_percentile,analyst_upside_percentile,drawdown_percentile,momentum_score_percentile,conviction_score,diamond_in_rough
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,60423000000.0,19.4,2.1,40.73,40.73,80.17,40.0,50.66,30,40.73,19.4,0.0,0.24380063835011048,0.4919545964824748,0.0181727657455812,0.0181727657455812,60.0,80.0,100.0,20.0,71.0,True
NVDA,NVIDIA Corporation,Technology,Semiconductors,5450000000000.0,34.46,6.53,225.01,225.01,236.54,164.07,302.83,40,225.01,34.46,0.0,0.34585129549797783,0.04874439841041685,0.8408996826272941,0.8408996826272941,60.0,100.0,20.0,100.0,70.0,False
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,89480000000.0,19.57,5.38,105.27,105.27,122.41,82.0,114.24,25,105.27,19.57,0.0,0.08520946138500997,0.14002124009476352,0.5758475624845335,0.5758475624845335,60.0,40.0,60.0,80.0,55.0,False
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,422857000000.0,48.3,19.74,953.5,953.5,1096.5,844.06,1077.31,35,953.5,48.3,0.0,0.1298479286837965,0.13041495668034656,0.43352875930914286,0.43352875930914286,60.0,60.0,40.0,40.0,54.0,False
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,53151000000.0,11.66,5.29,61.66,61.66,79.21,38.46,59.16,35,61.66,11.66,0.0,-0.04054492377554331,0.22156293397298318,0.5693251533742332,0.5693251533742332,60.0,20.0,80.0,60.0,50.0,False
